axis,level,n,painted,painted_lo,painted_hi,n_painted,det_mean,det_hit
overlap,clear,138,0.87,0.803,0.916,120,0.729,0.867
overlap,moderate,137,0.847,0.777,0.898,116,0.811,0.948
overlap,on_structure,138,0.435,0.355,0.518,60,0.797,0.883
size,small,141,0.66,0.578,0.733,93,0.705,0.828
size,medium,137,0.708,0.627,0.778,97,0.814,0.928
size,large,135,0.785,0.709,0.846,106,0.801,0.943
zone,upper,144,0.708,0.629,0.776,102,0.783,0.902
zone,mid,144,0.812,0.741,0.868,117,0.797,0.906
zone,lower,125,0.616,0.528,0.697,77,0.731,0.896
